iteration,archive_index,f1,f2
0,0,0.40714951860099335,3.3040988159909292
0,1,0.0067300712970082,4.609445020832536
0,2,0.4583117135974025,2.963992308197409
0,3,0.9364989378420537,2.657384705967826
0,4,0.7442017991450989,2.8237090028333016
0,5,0.017629842355424974,4.371211229814598
0,6,0.05740298835427515,3.882501479752837
0,7,0.1770062294982372,3.7727378443733035
0,8,0.2516840441425452,3.397168126076366
0,9,0.6997520193310768,2.837899399239116
0,10,0.9438692359832478,2.518111238975094
0,11,0.918402772845275,2.708839152729286
1,0,0.05740298835427515,3.882501479752837
1,1,0.2516840441425452,3.397168126076366
1,2,0.0,4.362877494076464
1,3,0.9583117135974025,2.03227308868594
1,4,0.2894833989299984,3.3190012067246237
1,5,0.09266484511309894,3.7590315315991156
1,6,0.3355860114939594,2.821880488097171
1,7,0.4850017695653386,2.7108598032385536
1,8,0.9571419765870097,2.166336428928441
1,9,0.012616333862806278,4.264175373448237
1,10,0.7516840441425452,2.480208241689008
1,11,0.3165179760704139,3.215348125706179
1,12,0.9434856914249606,2.187271118749097
1,13,0.16772783859929802,3.5396216586554563
1,14,0.62827316351644,2.623173792263374
2,0,0.053116852319356034,2.816578595249528
2,1,0.0,2.9189029373268003
2,2,0.9016992354748844,1.4955980690313049
2,3,0.1448692948708003,2.2300895905248725
2,4,0.18448260545062423,1.5916944125887091
2,5,0.07742177745964968,2.5041256055004553
3,0,0.08692048657664014,1.4629086170122831
3,1,0.8433639787491208,1.0536265556028157
3,2,0.7179444459465715,1.23576576450644
3,3,0.28993129501571036,1.3266215797415055
3,4,1.0,0.8739881429231291
3,5,0.7285827340133346,1.0952934910808025
3,6,0.6432484266204975,1.2758244377026284
3,7,0.0,1.8465442306156223
4,0,0.030926265114723683,1.4403011431074206
4,1,0.47424705481123436,0.6999013039228846
4,2,0.1056971950757902,0.9929551669453579
4,3,0.7688158472787744,0.4656874288534215
4,4,0.6753856918901474,0.5553383286380484
4,5,0.0,1.7139378737144018
4,6,0.9404387102915117,0.3342857201617856
4,7,0.3352373352829203,0.843439966701667
4,8,0.7515442676560558,0.5379373418876559
5,0,0.7789437739876232,0.360717084129537
5,1,0.058758409764488984,1.0810287558439633
5,2,0.17525190705104882,0.8470417459405417
5,3,0.06482818144306848,1.066015671594451
5,4,0.14289810588842744,0.8642864535363264
5,5,0.1056502894596088,0.9905121688645049
5,6,1.0,0.09850456224003108
5,7,0.4939539999368513,0.38331532794122525
5,8,0.3152158381630614,0.5441289603945396
5,9,0.2633216508846625,0.5758202186581034
5,10,0.22464894288083542,0.7068388516482048
5,11,0.88333073939752,0.21325374503555194
5,12,0.0,1.2114417795943715
6,0,0.3152158381630614,0.5441289603945396
6,1,0.2633216508846625,0.5758202186581034
6,2,0.0,1.0888947371020934
6,3,0.3830973265642717,0.4418495060581768
6,4,0.8948912255700587,0.09507442666628788
6,5,0.8262920338143709,0.1631916449711548
6,6,0.005793927290062284,0.9675230579419036
6,7,0.8254041094290244,0.16678317967203468
6,8,0.03933714182163808,0.8704259734939528
6,9,0.7842253126134092,0.19749178483600133
6,10,0.5,0.32823559713404604
6,11,0.49139074854064596,0.3754928748067938
6,12,0.1333509054801168,0.6354474243397824
6,13,0.6718838556778612,0.22946397236721852
6,14,0.8881443835434881,0.11386667841416682
6,15,0.15985144597332687,0.6046081929541339
